case,current_density_A_cm2,current_A,E_nernst_V,V_act_V,V_ohm_V,V_conc_V,V_cell_V,V_stack_V,P_stack_W,efficiency_percent,temperature_K,air_pressure_atm
T_373,0.18333333333333332,42.53333333333333,1.1638484646298433,0.2173328957135196,0.03507116472854199,0.012756751401442811,0.8986876527863388,36.84619376423989,1567.1914414390033,50.90506843527651,373.15,5.0
T_373,0.1875,43.5,1.1638484646298433,0.21794846054507544,0.03586823665419067,0.012914551596396467,0.8971172158341807,36.78180584920141,1600.0085544402614,50.81611294526279,373.15,5.0
T_373,0.19166666666666665,44.46666666666666,1.1638484646298433,0.21855049537772825,0.03666530857983935,0.01307430376961981,0.8955583569026558,36.71789263300889,1632.7222924144617,50.72781327813797,373.15,5.0
T_373,0.19583333333333333,45.43333333333333,1.1638484646298433,0.21913958221570734,0.03746238050548804,0.01323603206695858,0.8940104698416893,36.654429263509265,1665.3329028721041,50.64013509926873,373.15,5.0
T_373,0.2,46.400000000000006,1.1638484646298433,0.21971626629946844,0.03825945243113672,0.013399760932941079,0.892472984966297,36.59139238361818,1697.8406065998836,50.55304613954241,373.15,5.0
T_373,0.20416666666666666,47.36666666666667,1.1638484646298433,0.22028105913831858,0.0390565243567854,0.013565515114472853,0.8909453660202663,36.52876000683092,1730.2455989902246,50.46651602337845,373.15,5.0
T_373,0.20833333333333334,48.333333333333336,1.1638484646298433,0.22083444123664864,0.03985359628243409,0.01373331966457708,0.8894271074461835,36.466511405293524,1762.5480512558538,50.380516114092394,373.15,5.0
T_373,0.2125,49.3,1.1638484646298433,0.22137686455018668,0.04065066820808277,0.013903199946181222,0.8879177319253926,36.4046270089411,1794.7481115407961,50.295019374549824,373.15,5.0
T_373,0.21666666666666667,50.266666666666666,1.1638484646298433,0.2219087547037325,0.041447740133731446,0.014075181635950524,0.8864167881564288,36.34308831441358,1826.8459059378558,50.2100002413285,373.15,5.0
T_373,0.22083333333333333,51.233333333333334,1.1638484646298433,0.22243051299763905,0.042244812059380125,0.014249290728168931,0.8849238488446551,36.28187780263086,1858.8415394214544,50.12543451084369,373.15,5.0
T_373,0.225,52.2,1.1638484646298433,0.22294251822673822,0.04304188398502881,0.01442555353866801,0.8834385088794082,36.22097886405574,1890.7350967037096,50.04129923609488,373.15,5.0
T_373,0.22916666666666666,53.166666666666664,1.1638484646298433,0.22344512833236257,0.04383895591067749,0.014603996708804471,0.8819603836779986,36.16037573079794,1922.5266430207569,49.957572632863624,373.15,5.0
T_373,0.23333333333333334,54.13333333333333,1.1638484646298433,0.22393868190551147,0.04463602783632618,0.0147846472094869,0.8804891076785187,36.10005341481927,1954.2162248555499,49.874233994340564,373.15,5.0
T_373,0.2375,55.099999999999994,1.1638484646298433,0.22442349955697188,0.045433099761974856,0.014967532345252275,0.8790243329656443,36.03999765159141,1985.8038706026866,49.79126361328553,373.15,5.0
T_373,0.24166666666666667,56.06666666666667,1.1638484646298433,0.22489988516827875,0.046230171687623535,0.015152679758392964,0.877565728015548,35.98019484863747,2017.289591180274,49.70864271093478,373.15,5.0
T_373,0.24583333333333332,57.03333333333333,1.1638484646298433,0.22536812703574022,0.047027243613272214,0.01534011743313469,0.8761129765476962,35.920632038455544,2048.6733805932477,49.62635337196238,373.15,5.0
T_373,0.25,58.0,1.1638484646298433,0.22582849891831142,0.0478243155389209,0.015529873699866267,0.8746657764727447,35.86129683538253,2079.955216452187,49.54437848488506,373.15,5.0
T_373,0.25416666666666665,58.96666666666666,1.1638484646298433,0.22628126099885493,0.04862138746456958,0.015721977239421595,0.8732238389269972,35.80217739600688,2111.135060451206,49.46270168737027,373.15,5.0
T_373,0.2583333333333333,59.93333333333332,1.1638484646298433,0.22672666076723957,0.04941845939021826,0.015916457087414636,0.8717868873849708,35.743262382783804,2142.2128588081755,49.381307315968556,373.15,5.0
T_373,0.2625,60.900000000000006,1.1638484646298433,0.22716493383278125,0.050215531315866944,0.016113342638628052,0.870354656842567,35.684540930545246,2173.1885426702056,49.30018035984524,373.15,5.0
T_373,0.26666666666666666,61.86666666666667,1.1638484646298433,0.22759630467270442,0.051012603241515624,0.016312663651456047,0.8689268930641673,35.62600261563086,2204.0620284870292,49.21930641813312,373.15,5.0
T_373,0.2708333333333333,62.83333333333333,1.1638484646298433,0.22802098732257542,0.0518096751671643,0.016514450252402276,0.8675033518877013,35.56763742739575,2234.8332183546995,49.13867166056884,373.15,5.0
T_373,0.275,63.800000000000004,1.1638484646298433,0.2284391860140253,0.052606747092812996,0.016718732940633294,0.8660837985823716,35.50943574187723,2265.5020003317677,49.05826279111205,373.15,5.0
T_373,0.2791666666666667,64.76666666666667,1.1638484646298433,0.22885109576451718,0.053403819018461675,0.016925542592588386,0.8646680072542761,35.45138829742532,2296.068248729913,48.97806701427755,373.15,5.0
T_373,0.2833333333333333,65.73333333333333,1.1638484646298433,0.2292569029234226,0.054200890944110354,0.017134910466646412,0.8632557602956639,35.393486172122216,2326.5318243808338,48.89807200393911,373.15,5.0
T_373,0.2875,66.69999999999999,1.1638484646298433,0.229656785678234,0.05499796286975903,0.01734686820785037,0.8618468478739999,35.33572076283399,2356.892574881027,48.81826587438815,373.15,5.0
T_373,0.2916666666666667,67.66666666666667,1.1638484646298433,0.23005091452435444,0.05579503479540772,0.0175614478526904,0.8604410674573907,35.27808376575302,2387.1503348159545,48.738637153452025,373.15,5.0
